name,ring,quadrant,isNew,description
Bitnami Sealed Secrets,Adopt,Tools,FALSE,"<p>Encrypt your Secret into a SealedSecret, which is safe to store - even inside a public repository. The SealedSecret can be decrypted only by the controller running in the target cluster and nobody else (not even the original author) is able to obtain the original Secret from the SealedSecret..</p>"
Cert-Manager,Adopt,Tools,FALSE,<p>Cloud native X.509 certificate management for Kubernetes and OpenShift..</p>
Fluent Bit,Adopt,Tools,FALSE,"<p>Fluent Bit is a super fast, lightweight, and highly scalable logging and metrics processor and forwarder. It is the preferred choice for cloud and containerized environments.</p>"
Flux,Adopt,Tools,FALSE,<p>Flux is a tool for keeping Kubernetes clusters in sync with sources of configuration (like Git repositories)</p>
Grafana,Adopt,Tools,FALSE,"<p>Grafana helps you collect, correlate, and visualize data with beautiful dashboards — the open source data visualization and monitoring solution that drives informed decisions, enhances system performance, and streamlines troubleshooting.</p>"
Helm,Adopt,Tools,FALSE,"<p>Helm helps you manage Kubernetes applications — Helm Charts help you define, install, and upgrade even the most complex Kubernetes application. Charts are easy to create, version, share, and publish — so start using Helm and stop the copy-and-paste.</p>"
Kibana,Adopt,Tools,FALSE,"<p>Faster analytics, faster solutions. From data exploration to finding insights to sharing results, Kibana gives you the ability to understand your data quickly.</p>"
Kyverno,Adopt,Tools,FALSE,<p>Kyverno is a policy engine designed for Kubernetes. Policies are managed as Kubernetes resources and no new language is required to write policies. This allows using familiar tools such as kubectl
Kyverno Policies,Adopt,Tools,FALSE,<p>Kyverno is a policy engine designed for Kubernetes. Policies are managed as Kubernetes resources and no new language is required to write policies. This allows using familiar tools such as kubectl
Kyverno Policy Reporter,Adopt,Tools,FALSE,<p>Kyverno is a policy engine designed for Kubernetes. Policies are managed as Kubernetes resources and no new language is required to write policies. This allows using familiar tools such as kubectl
Nginx Ingress Controller,Adopt,Tools,FALSE,<p>The NGINX Ingress Controller is an Ingress Controller implementation for NGINX and NGINX Plus that can load balance Websocket
Azure DevOps,Adopt,Platforms,FALSE,"<p>Plan smarter, collaborate better, and ship faster with a set of modern dev services.Get unlimited, cloud-hosted private Git repos and collaborate to build better code with pull requests and advanced file management. Build, test, and deploy with CI/CD that works with any language, platform, and cloud. Connect to GitHub or any other Git provider and deploy continuously.</p>"
Prometheus Adapter,Adopt,Tools,FALSE,"<p>Prometheus Adapter for Kubernetes Metrics APIs. This repository contains an implementation of the Kubernetes Custom, Resource and External Metric APIs.</p>"
Prometheus Elasticsearch Exporter,Adopt,Tools,FALSE,"<p>Prometheus exporter for various metrics about Elasticsearch, written in Go.</p>"
Kube Prometheus Stack,Adopt,Tools,FALSE,"<p>kube-prometheus-stack collects Kubernetes manifests, Grafana dashboards, and Prometheus rules combined with documentation and scripts to provide easy to operate end-to-end Kubernetes cluster monitoring with Prometheus using the Prometheus Operator.</p>"
SonarQube,Adopt,Tools,FALSE,"<p>SonarQube is a self-managed, automatic code review tool that systematically helps you deliver Clean Code. As a core element of our Sonar solution , SonarQube integrates into your existing workflow and detects issues in your code to help you perform continuous code inspections of your projects.</p>"
Terraform,Adopt,Tools,FALSE,<p>Terraform is an infrastructure as code tool that enables you to safely and predictably provision and manage infrastructure in any cloud.</p>
Terraform Provider: Google,Adopt,Tools,FALSE,<p></p>
Terraform Provider: Google-Beta,Adopt,Tools,FALSE,<p></p>
Terraform Provider: Acme,Adopt,Tools,FALSE,<p></p>
Terraform Provider: TLS,Adopt,Tools,FALSE,<p>The TLS provider provides utilities for working with Transport Layer Security keys and certificates. It provides resources that allow private keys, certificates and certificate requests to be created as part of a Terraform deployment.</p>
Terraform Module: Project Factory,Adopt,Tools,FALSE,<p>This module allows you to create opinionated Google Cloud Platform projects. It creates projects and configures aspects like Shared VPC connectivity, IAM access, Service Accounts, and API enablement to follow best practices.</p>
Thanos,Adopt,Tools,FALSE,<p>Thanos provides a global query view, high availability, data backup with historical, cheap data access as its core features in a single binary. Those features can be deployed independently of each other. This allows you to have a subset of Thanos features ready for immediate benefit or testing, while also making it flexible for gradual roll outs in more complex environments.</p>
Elastic Cloud on Kubernetes,Adopt,Platforms,FALSE,"<p>With Elastic Cloud on Kubernetes (ECK) you can extend the basic Kubernetes orchestration capabilities to easily deploy, secure, upgrade your Elasticsearch cluster, and much more.</p>"
Google Kubernetes Engine,Adopt,Platforms,FALSE,"<p>GKE is the industry's first fully managed Kubernetes service with full Kubernetes API, 4-way autoscaling, release channels, and multi-cluster support.</p>"
Google Cloud Composer,Adopt,Platforms,FALSE,<p>A fully managed workflow orchestration service built on Apache Airflow.</p>
Google Cloud SQL,Adopt,Platforms,FALSE,"<p>Cloud SQL is a service that delivers fully managed relational databases in the cloud. It offers MySQL, PostgreSQL, and SQL Server database engines.</p>"
Google BigQuery,Adopt,Platforms,FALSE,"<p>BigQuery is a serverless, cost-effective, and multicloud data warehouse designed to help you turn big data into valuable business insights.</p>"
Google Cloud Storage,Adopt,Platforms,FALSE,<p>Cloud Storage is a service for storing objects in Google Cloud. An object is an immutable piece of data consisting of a file of any format.</p>
Google Kubernetes Engine Enterprise,Trial,Platforms,TRUE,"<p>Google Kubernetes Engine (GKE) is Google's managed Kubernetes service that you can use to deploy and operate containerized applications using Google's infrastructure. It provides the operational power of Kubernetes while managing many of the underlying components, such as the control plane and nodes, for you. GKE features are available in two tiers, or editions: a standard tier of core functionality available to all GKE users, and an enterprise tier with powerful features for governing, managing, and operating containerized workloads at enterprise scale.</p>"
SonarCloud,Adopt,Platforms,TRUE,"<p>SonarCloud is designed to help you achieve a state of Clean Code, that is, code with attributes that contribute to making your software reliable, maintainable, and secure. To do this, SonarCloud identifies both issues and security hotspots in your code.</p>
"
